201210257565488|L001-01|Мектепке чейинки билим беруу мекемелерине медициналык каражаттарды алуу|100 220|с/у Зулпуев|<span>Условие поставки</span>
201210257516140|L001-01|Покупка огнетушителей для школ и детских садиков с/у Кызыл-Кыштак|57 000|с/у Кызыл-Кыштак|<span>Условие поставки</span>
201210257565488|L001-01|Мектепке чейинки билим беруу мекемелерине медициналык каражаттарды алуу|100 220|с/у Зулпуев|<span>Условие поставки</span>|согл.договора
201210257516140|L001-01|Покупка огнетушителей для школ и детских садиков с/у Кызыл-Кыштак|57 000|с/у Кызыл-Кыштак|<span>Условие поставки</span>|по договору
201210257482300|L001-01|"Азитромицин 250 мг №3
"|950|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L002-01|Азитромицин 500 мг №3|10 000|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L003-01|Альфа-амилаза для Humalyzer 3500|26 668|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L004-01|Аммиак 10% 30,0|660|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L005-01|Антисептический раствор на спиртово-глицериновой основе 1,0|16 800|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L006-01|Атропин сульфат 1*10|780|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L007-01|Ацетилсалициловая кислота 0,5 №10|1 720|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L008-01|Бинт 5*10 стерильный|475|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
